id,domaine,indicateur,jeu_de_donnees,producteur,url,granularite,debut_serie,frequence,latence_publication,format,licence,sphere_competence,ruptures,etat
FIN-11,Finances,Budget primitif par chapitre (SCDL/M57),Budget - Ville de Clermont-Ferrand,Ville de Clermont-Ferrand,https://www.data.gouv.fr/datasets/budget-ville-de-clermont-ferrand,Commune,2022,Annuelle,~7 mois,CSV JSON,LO 2.0,ville,Budget voté seul; compte administratif non publié en ouvert,ok
FIN-12,Finances,Volume et concentration de la commande publique,DECP consolidées format tabulaire,Colmo / data.gouv,https://www.data.gouv.fr/datasets/donnees-essentielles-de-la-commande-publique-consolidees-format-tabulaire,Acheteur (SIRET),2018 (fiable 2024),Quotidienne,~2 mois,Parquet CSV,ODbL,ville,R5 2024 nouveau régime: la hausse est déclarative,partiel
FIN-13,Finances,Marchés publics de la Ville,Marchés publics à partir de 2020 - Ville de CF,Ville de Clermont-Ferrand,https://www.data.gouv.fr/datasets/marches-publics-a-partir-de-2020-ville-de-clermont-ferrand,Commune,2019,Annuelle,~7 mois,CSV JSON GeoJSON,LO 2.0,ville,Accords-cadres: montant maximum et non dépense,ok
FIN-14,Finances,Ratio d'intégration métropolitaine,Comptes consolidés des ensembles intercommunaux,OFGL,https://data.ofgl.fr/explore/dataset/ofgl-base-communes/,Commune + EPCI,2018,Annuelle,8-12 mois,CSV JSON,LO 2.0,metropole,-,ok
SOC-01,Socio-économique,Population municipale de référence,Populations de référence,INSEE,https://www.insee.fr/fr/statistiques/8681011,Commune,1968,Annuelle,~3 ans,XLSX CSV Parquet,LO 2.0,etat,2018 questionnaire multi-résidence; 2021 enquête annulée,ok
SOC-02,Socio-économique,Demandeurs d'emploi catégorie A,Demandeurs d'emploi inscrits à France Travail - données communales,Dares / France Travail,https://data.gouv.fr/fr/datasets/demandeurs-demploi-inscrits-a-france-travail-donnees-communales-trimestrielles-brutes,Commune,Fenêtre glissante 10 ans,Trimestrielle,21 jours,CSV,LO 2.0,etat,Arrondi au multiple de 5; fenêtre glissante → archiver,ok
SOC-03,Socio-économique,Taux de chômage au sens du BIT,Taux de chômage localisés,INSEE,https://www.insee.fr/fr/statistiques/1893230,Zone d'emploi (NON communal),2003,Trimestrielle,~1 trimestre,XLSX CSV,LO 2.0,etat,R9 2008 changement de concept,ok
SOC-04,Socio-économique,Emploi salarié privé,Établissements et effectifs salariés commune x APE,URSSAF,https://open.urssaf.fr/explore/dataset/etablissements-et-effectifs-salaries-au-niveau-commune-x-ape-last/,Commune,2006,Annuelle,~150 jours,CSV JSON API,LO,metropole,2021 passage DSN; 2023 inclusion des apprentis,ok
SOC-05,Socio-économique,Taux de pauvreté (60% de la médiane),FiLoSoFi,INSEE,https://www.insee.fr/fr/statistiques/8984752,Commune + IRIS,2012,Annuelle,~3 ans,XLSX CSV,LO 2.0,etat,R4 2023 FiLoSoFi 2 incomparable avec 2012-2021; pas de millésime 2022,attention
SOC-06,Socio-économique,Niveau de vie médian,FiLoSoFi,INSEE,https://www.insee.fr/fr/statistiques/8984752,Commune,2012,Annuelle,~3 ans,XLSX CSV,LO 2.0,etat,Idem SOC-05,attention
SOC-07,Socio-économique,Logements vacants structurels (>2 ans) parc privé,LOVAC,Cerema / MTE,https://www.data.gouv.fr/datasets/logements-vacants-du-parc-prive-par-commune-departement-region-france-de-2020-a-2026,Commune,2020,Annuelle,~1 an,XLSX CSV,LO 2.0,ville,2023 GMBI; 2025 changement déclaratif,ok
SOC-08,Socio-économique,Parc locatif social et taux SRU,RPLS + Inventaire SRU,SDES / MTE,https://www.data.gouv.fr/datasets/communes-et-inventaire-sru,Commune,2011,Annuelle,1-1.5 an,CSV XLSX,LO 2.0,metropole,-,ok
SOC-09,Socio-économique,Créations d'établissements par forme juridique,Créations d'entreprises et d'établissements,INSEE,https://www.insee.fr/fr/statistiques/2021271,Commune,2012,Annuelle,~7 mois,XLSX CSV Parquet,LO 2.0,metropole,Micro-entrepreneuriat domine les volumes → désagréger,ok
SOC-10,Socio-économique,Population en QPV et fracture infra-urbaine,Bases QPV 2024 + FiLoSoFi QPV,INSEE / ANCT,https://www.insee.fr/fr/statistiques/8186144,QPV,2015,Annuelle,3-5 ans,XLSX CSV,LO 2.0,etat/partagee,R5 2024 nouvelle géographie: 1 QPV nouveau 1 modifié 3 identiques,attention
EDU-01,Éducation,Effectifs et nombre de classes dans les écoles,fr-en-ecoles-effectifs-nb_classes,DEPP,https://data.education.gouv.fr/explore/dataset/fr-en-ecoles-effectifs-nb_classes/information/,École + commune,~2014,Annuelle,~12 mois,CSV JSON API,LO 2.0,ville (bâti) / etat (classes),2024 comptabilisation UEEA,ok
EDU-02,Éducation,Effectifs et occupation des collèges,Effectifs d'élèves par collège,DEPP,https://www.data.gouv.fr/pages/donnees_education,Établissement,~2014,Annuelle,~12 mois,CSV JSON,LO 2.0,departement,-,ok
EDU-03,Éducation,Réussite et valeur ajoutée des lycées (IVAL),fr-en-indicateurs-de-resultat-des-lycees-gt_v2,DEPP,https://data.education.gouv.fr/explore/dataset/fr-en-indicateurs-de-resultat-des-lycees-gt_v2/,Établissement,~2014,Annuelle,~12 mois,CSV JSON,LO 2.0,region,Versions sans _v2 obsolètes,ok
EDU-04,Éducation,Valeur ajoutée DNB des collèges (IVAC),Indicateurs de valeur ajoutée des collèges,DEPP,https://www.data.gouv.fr/datasets/indicateurs-de-valeur-ajoutee-des-colleges,Établissement,2022,Annuelle,~12 mois,CSV JSON,LO 2.0,departement,Série DNB historique gelée; IVAC depuis 2022 seulement,attention
EDU-05,Éducation,Poids étudiant (étudiants / population),Effectifs étudiants par commune d'implantation,MESR,https://www.data.gouv.fr/datasets/effectifs-detudiants-inscrits-dans-les-etablissements-et-les-formations-de-lenseignement-superieur-detail-par-etablissements,Commune d'implantation,2015-16,Annuelle,~18 mois,CSV JSON,LO 2.0,etat,-,ok
EDU-06,Éducation,Taux de couverture de l'accueil des moins de 3 ans,txcouv_pe_com + txcouv_pe_com_hist,CNAF,https://data.caf.fr/explore/dataset/txcouv_pe_com/,Commune (>10k hab),2017,Annuelle,24-36 mois,CSV API,non vérifiée,ville (autorité organisatrice depuis 2025),Ligne de base à partir de 2017 et non 2014,partiel
EDU-07,Éducation,Restauration scolaire: repas servis et fréquentation,INEXISTANT en données ouvertes,-,-,-,-,-,-,-,-,ville,Lacune totale — demande d'accès nécessaire,lacune
CUL-01,Culture,Fréquentation et prêts du réseau de lecture publique,Bibliothèques des collectivités territoriales,Min. Culture / SLL,https://data.culture.gouv.fr/explore/dataset/adresses-des-bibliotheques-publiques/,Établissement,Millésime courant seul (2023),Annuelle (écrase),~30 mois,CSV JSON GeoJSON,LO 2.0,metropole,Synthèses PDF 2010-2018 et 2021 seulement → série impossible,lacune
CUL-02,Culture,Fréquentation des Musées de France,Fréquentation des Musées de France,Min. Culture,https://www.data.gouv.fr/datasets/frequentation-des-musees-de-france-1,Musée,2001,Annuelle,~4 ans,CSV XLSX,LO,metropole,Série s'arrête en 2022,partiel
CUL-03,Culture,Équipements culturels et sportifs pour 1000 hab,BPE base d'évolution 2015/2020/2025,INSEE,https://www.insee.fr/fr/statistiques/8217537,Commune + IRIS,2015,Annuelle (évolution décennale),~12 mois,CSV XLSX,LO,ville+metropole,Pas de millésime 2022; harmonisation européenne 2023,ok
CUL-04,Culture,Dépense de fonctionnement culture et sport par habitant,Balances comptables (champ fonction À VÉRIFIER),DGFiP,https://data.economie.gouv.fr/explore/dataset/balances-comptables-des-communes-en-2025/,Commune,2010 (à confirmer),Annuelle,~7 mois,CSV,LO 2.0,ville+metropole consolidés,Dépend de l'existence d'une classification fonctionnelle,à vérifier
CUL-05,Culture,Créations annuelles d'associations par objet social,Répartition des associations selon l'objet social,Ithéa Conseil (à partir du RNA),https://www.data.gouv.fr/datasets/repartition-des-associations-selon-lobjet-social-et-evolution-des-creations-dassociations-au-1er-janvier-2024,Commune,2011,Annuelle,12-24 mois,XLSX,Non spécifiée,etat (registre) / ville (subventions),Utiliser le flux et non le stock; producteur privé,partiel
SPO-01,Sport,Licences sportives pour 1000 habitants,lics_cc,INJEP / Min. Sports,https://data.sports.gouv.fr/explore/dataset/lics_cc/,Commune,~2014,Annuelle,~30 mois,CSV XLSX API,LO 2.0,associatif / ville (équipements),3 fédérations exclues,ok
SPO-02,Sport,Équipements sportifs pour 10 000 habitants,Data ES - Recensement des équipements sportifs,Min. Sports,https://equipements.sports.gouv.fr/explore/dataset/data-es/,Équipement + commune,Sans historique (registre vivant),Quotidienne,0,CSV JSON GeoJSON,LO 2.0,ville,Aucun millésime → capture propre nécessaire,archiver
SEC-01,Sécurité,Effectif de police municipale et ASVP pour 10 000 hab,Police municipale - effectifs par commune,Min. Intérieur,https://www.data.gouv.fr/datasets/police-municipale-effectifs-par-commune,Commune,2012,Annuelle,~24 mois,ODS XLSX,LO,ville,-,ok
SEC-02,Sécurité,Vols de véhicules et vols dans les véhicules,Bases communales de la délinquance enregistrée,SSMSI,https://www.data.gouv.fr/datasets/bases-statistiques-communale-departementale-et-regionale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales,Commune,2016,Annuelle,~6 mois,CSV Parquet XLSX,LO 2.0,etat,R3 2022 élargissement; secret statistique >5 faits sur 3 ans,ok
SEC-03,Sécurité,Destructions et dégradations volontaires,Bases communales de la délinquance enregistrée,SSMSI,https://www.data.gouv.fr/datasets/bases-statistiques-communale-departementale-et-regionale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales,Commune,2016,Annuelle,~6 mois,CSV Parquet,LO 2.0,ville+etat,Idem SEC-02,ok
SEC-04,Sécurité,Violences intrafamiliales enregistrées,Bases communales de la délinquance enregistrée,SSMSI,https://www.data.gouv.fr/datasets/bases-statistiques-communale-departementale-et-regionale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales,Commune,2016,Annuelle,~6 mois,CSV Parquet,LO 2.0,etat (enregistrement) / ville (prévention),LECTURE INVERSÉE: taux de plainte ~10% — une hausse peut être un progrès,attention
SEC-05,Sécurité,Tués et accidents corporels de la circulation,Bases annuelles des accidents corporels (BAAC),ONISR,https://www.data.gouv.fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2024,Adresse,2005,Annuelle,~12 mois,CSV,LO,metropole (voirie) / ville (police de circulation),Blessés hospitalisés non comparables depuis 2018,ok
SEC-06,Sécurité,Verbalisations de la police municipale,Verbalisations à partir de 2020 - Ville de CF,Ville de Clermont-Ferrand,https://www.data.gouv.fr/organizations/clermont-auvergne-metropole,Commune géolocalisée,2019,Annuelle,~7 mois,CSV JSON GeoJSON,LO 2.0,ville,-,ok
SEC-07,Sécurité,Vidéoprotection (nombre de caméras et coût),INEXISTANT en données ouvertes,-,-,-,-,-,-,-,-,ville,Lacune — via délibérations budget ou demande d'accès,lacune
SAN-01,Santé,Accessibilité potentielle localisée aux médecins généralistes,APL,DREES,https://www.data.gouv.fr/datasets/laccessibilite-potentielle-localisee-apl,Commune,~2015,Annuelle,~2 ans,ZIP XLSX,LO 2.0,etat / ARS,Révision méthodologique 2015; EXCLUT l'activité hospitalière (effet CHU),attention
SAN-02,Santé,Établissements de santé,FINESS,Min. Solidarités et Santé,https://www.data.gouv.fr/datasets/finess-extraction-du-fichier-des-etablissements,Commune,-,Continue,-,CSV ZIP,LO,etat / ARS,Génération des flux annoncée comme arrêtée — vérifier le successeur,attention
ENV-01,Environnement,Jours par an avec indice ATMO dégradé,Indices ATMO,Atmo Auvergne-Rhône-Alpes,https://www.data.gouv.fr/datasets/indices-atmo,Commune,Fenêtre de 9 jours,Quotidienne,1 jour,CSV GeoJSON WFS,Non spécifiée,metropole / etat,SANS HISTORIQUE → archiver quotidiennement,archiver
ENV-02,Environnement,Concentrations de polluants (série longue),Geod'air,LCSQA / Ineris,https://www.geodair.fr/,Station de mesure,~2014,Horaire à annuelle,variable,API,LO 2.0,metropole / etat,Limite de 15 requêtes par heure,ok
ENV-03,Environnement,Déchets ménagers kg/habitant et par flux,Evolution des déchets ménagers collectés,Clermont Auvergne Métropole,https://www.data.gouv.fr/datasets/evolution-des-dechets-menagers-collectes-sur-clermont-auvergne-metropole-tonnages,EPCI (non communal),2002,Annuelle,~9 mois,CSV JSON,LO 2.0,metropole,Aucune granularité communale,ok
ENV-04,Environnement,Émissions de GES de la Ville (BEGES),Bilan des émissions de GES - Ville de CF,Ville de Clermont-Ferrand,https://www.data.gouv.fr/organizations/clermont-auvergne-metropole,Commune (patrimoine de la Ville),2014,Irrégulière,~5 ans,CSV JSON,LO 2.0,ville,Série s'arrête en 2021; inventaire territorial non vérifié,partiel
ENV-05,Environnement,Population exposée au bruit Lden > 65 dB,Cartes de bruit stratégiques 4e échéance,Clermont Auvergne Métropole,https://www.data.gouv.fr/datasets/cartes-de-bruits-strategiques-de-4eme-echeance-realisees-en-2022,EPCI cartographique,2011 et 2022,Quinquennale,~1 an,CSV JSON TIFF,LO 2.0,metropole / etat,Prochain point ~2027 soit mi-mandat,ok
MOB-01,Mobilité,Fréquentation cyclable quotidienne (capteurs ZELT),Mesure de la fréquentation quotidienne vélo,Clermont Auvergne Métropole,https://www.data.gouv.fr/organizations/clermont-auvergne-metropole,Point de comptage,À vérifier,Quotidienne,jours,CSV JSON,LO 2.0,metropole,Points fixes non représentatifs du territoire,ok
MOB-02,Mobilité,Kilomètres d'aménagements cyclables,Aménagements cyclables France Métropolitaine,Geovelo (à partir d'OpenStreetMap),https://www.data.gouv.fr/datasets/amenagements-cyclables-france-metropolitaine,Commune,~2020,Mensuelle,1 mois,CSV GeoJSON,ODbL,metropole,Dérivé d'OSM: une hausse peut être de la cartographie et non des travaux,attention
MOB-03,Mobilité,Offre de transport public (véhicules-km via GTFS),GTFS & GTFS-RT réseau T2C,SMTC-AC / CAM,https://transport.data.gouv.fr/datasets/syndicat-mixte-des-transports-en-commun-de-lagglomeration-clermontoise-smtc-ac-reseau-t2c-gtfs-gtfs-rt,Réseau,~2025 (archive PAN),Continue,jours,GTFS protobuf,LO 2.0,metropole / SMTC,Archive seulement depuis 2025; offre ≠ usage,partiel
MOB-04,Mobilité,Fréquentation du transport public (voyages/an),INEXISTANT en données ouvertes,-,-,-,-,-,-,-,-,metropole / SMTC,Lacune — rapport annuel du délégataire ou demande d'accès,lacune
MOB-05,Mobilité,Occupation des parcs de stationnement,Occupation des Parcs de Stationnement Métropolitains,Clermont Auvergne Métropole,https://www.data.gouv.fr/datasets/occupation-des-parcs-de-stationnement-metropolitains,Parc,Temps réel sans rétention,~1 minute,0,CSV JSON,LO 2.0,metropole,SANS HISTORIQUE → archiver toutes les 15 minutes,archiver
DEM-01,Démocratie,Délibérations votées,Délibérations votées - Ville de Clermont-Ferrand,Ville de CF via CAM,https://www.data.gouv.fr/datasets/deliberations-votees-ville-de-clermont-ferrand,Commune,2020-02-13,Annuelle (déclarée),couverture déclarée jusqu'au 2024-09-27,CSV JSON API,LO 2.0,ville,CRITIQUE: vérifier la date maximale réelle avant toute architecture,à vérifier
DEM-02,Démocratie,Liste des délibérations (obligation légale),Site de la Ville - listing des actes administratifs,Ville de Clermont-Ferrand,https://clermont-ferrand.fr/listing-des-actes-administratifs,Commune,2022-07,Par séance,1 semaine (art. L2121-25 CGCT),HTML PDF,Document administratif,ville,Inclut les délibérations REFUSÉES,ok
DEM-03,Démocratie,Vidéo intégrale des séances du conseil,Chaîne officielle de la Ville,Ville de Clermont-Ferrand,https://www.youtube.com/playlist?list=PLnwA-WijLGdHQJAjxezujFqPmREko8kfR,Séance,~2020,Par séance (6-8/an),Le jour même,Vidéo,Diffusion publique,ville,Source la plus rapide; transcription automatique sous 24h,ok
DEM-04,Démocratie,Procès-verbal des séances,Site de la Ville,Ville de Clermont-Ferrand,https://clermont-ferrand.fr/deliberations,Commune,-,Par séance,6-9 semaines (art. L2121-15 CGCT),PDF,Document administratif,ville,Le plus riche et le plus lent,ok
DEM-05,Démocratie,Résultats électoraux par bureau de vote,Résultats des élections municipales à partir de 2014,Ville de Clermont-Ferrand,https://www.data.gouv.fr/organizations/clermont-auvergne-metropole,Bureau de vote,2014,Par élection,semaines,CSV JSON,LO 2.0,etat,Inclut le scrutin de mars 2026,ok
